p,d,q,P,D,Q,season,value
2.0,1.0,3.0,2.0,1.0,3.0,5.0,13.285734951204978
2.0,1.0,3.0,3.0,1.0,0.0,5.0,17.465300137588823
2.0,1.0,3.0,3.0,1.0,1.0,5.0,13.322095871001018
2.0,1.0,3.0,3.0,1.0,2.0,5.0,13.308607563942237
2.0,1.0,3.0,3.0,1.0,3.0,5.0,13.24132026300398
3.0,1.0,0.0,0.0,1.0,0.0,5.0,29.083098478527482
3.0,1.0,0.0,0.0,1.0,1.0,5.0,13.439999125619845
3.0,1.0,0.0,0.0,1.0,2.0,5.0,13.334899148922208
3.0,1.0,0.0,0.0,1.0,3.0,5.0,13.325434488349567
3.0,1.0,0.0,1.0,1.0,0.0,5.0,20.849903291632668
3.0,1.0,0.0,1.0,1.0,1.0,5.0,13.340182005429567
3.0,1.0,0.0,1.0,1.0,2.0,5.0,13.292003120426644
3.0,1.0,0.0,1.0,1.0,3.0,5.0,13.311682460530294
3.0,1.0,0.0,2.0,1.0,0.0,5.0,18.224093911298485
3.0,1.0,0.0,2.0,1.0,1.0,5.0,13.330833085238961
3.0,1.0,0.0,2.0,1.0,2.0,5.0,13.310839498701739
3.0,1.0,0.0,2.0,1.0,3.0,5.0,13.287794073743601
3.0,1.0,0.0,3.0,1.0,0.0,5.0,17.46806835055876
3.0,1.0,0.0,3.0,1.0,1.0,5.0,13.324349377123283
3.0,1.0,0.0,3.0,1.0,2.0,5.0,13.310198790122852
3.0,1.0,0.0,3.0,1.0,3.0,5.0,13.237552825915618
3.0,1.0,1.0,0.0,1.0,0.0,5.0,29.079326234903267
3.0,1.0,1.0,0.0,1.0,1.0,5.0,13.439230678868155
3.0,1.0,1.0,0.0,1.0,2.0,5.0,13.333617622552843
3.0,1.0,1.0,0.0,1.0,3.0,5.0,13.323986157839785
3.0,1.0,1.0,1.0,1.0,0.0,5.0,20.849650466283357
3.0,1.0,1.0,1.0,1.0,1.0,5.0,13.339165078500692
3.0,1.0,1.0,1.0,1.0,2.0,5.0,13.439754807497602
3.0,1.0,1.0,1.0,1.0,3.0,5.0,13.310127805346212
3.0,1.0,1.0,2.0,1.0,0.0,5.0,18.223989097452503
3.0,1.0,1.0,2.0,1.0,1.0,5.0,13.329534106335306
3.0,1.0,1.0,2.0,1.0,2.0,5.0,13.30933954228965
3.0,1.0,1.0,2.0,1.0,3.0,5.0,13.287636330046912
3.0,1.0,1.0,3.0,1.0,0.0,5.0,17.46802906651165
3.0,1.0,1.0,3.0,1.0,1.0,5.0,13.323076793178613
3.0,1.0,1.0,3.0,1.0,2.0,5.0,13.30922590183145
3.0,1.0,1.0,3.0,1.0,3.0,5.0,13.243800733897524
3.0,1.0,2.0,0.0,1.0,0.0,5.0,21.99708253995027
3.0,1.0,2.0,0.0,1.0,1.0,5.0,13.392462551372972
3.0,1.0,2.0,0.0,1.0,2.0,5.0,13.333625752866602
3.0,1.0,2.0,0.0,1.0,3.0,5.0,13.268837215407451
3.0,1.0,2.0,1.0,1.0,0.0,5.0,17.864739469986922
3.0,1.0,2.0,1.0,1.0,1.0,5.0,13.339300323340218
3.0,1.0,2.0,1.0,1.0,2.0,5.0,13.383297948680184
3.0,1.0,2.0,1.0,1.0,3.0,5.0,13.310698495452462
3.0,1.0,2.0,2.0,1.0,0.0,5.0,16.83847936254197
3.0,1.0,2.0,2.0,1.0,1.0,5.0,13.329598649663582
3.0,1.0,2.0,2.0,1.0,2.0,5.0,13.309508107099608
3.0,1.0,2.0,2.0,1.0,3.0,5.0,13.283835739191684
3.0,1.0,2.0,3.0,1.0,0.0,5.0,16.520146312039348
3.0,1.0,2.0,3.0,1.0,1.0,5.0,13.323249249211166
3.0,1.0,2.0,3.0,1.0,2.0,5.0,13.308887971466122
3.0,1.0,2.0,3.0,1.0,3.0,5.0,13.23971905841031
3.0,1.0,3.0,0.0,1.0,0.0,5.0,21.906020310659923
3.0,1.0,3.0,0.0,1.0,1.0,5.0,13.377962898669468
3.0,1.0,3.0,0.0,1.0,2.0,5.0,13.254480966448275
3.0,1.0,3.0,0.0,1.0,3.0,5.0,13.310500397593916
3.0,1.0,3.0,1.0,1.0,0.0,5.0,17.858709117260016
3.0,1.0,3.0,1.0,1.0,1.0,5.0,13.282355869486826
3.0,1.0,3.0,1.0,1.0,2.0,5.0,13.371742648592555
3.0,1.0,3.0,1.0,1.0,3.0,5.0,13.271178754525568
3.0,1.0,3.0,2.0,1.0,0.0,5.0,16.46875271264839
3.0,1.0,3.0,2.0,1.0,1.0,5.0,13.327066678862904
3.0,1.0,3.0,2.0,1.0,2.0,5.0,13.282244826802158
3.0,1.0,3.0,2.0,1.0,3.0,5.0,13.282038014408407
3.0,1.0,3.0,3.0,1.0,0.0,5.0,16.079849596764447
3.0,1.0,3.0,3.0,1.0,1.0,5.0,13.311369462401187
3.0,1.0,3.0,3.0,1.0,2.0,5.0,13.317120737262295
3.0,1.0,3.0,3.0,1.0,3.0,5.0,13.251690903421203
