method,alpha,beta,value
estimated,0.12,0.8099999999999996,19284.967869921653
estimated,0.12,0.8199999999999996,19313.343448081287
estimated,0.12,0.8299999999999996,19341.626009515378
estimated,0.12,0.8399999999999996,19369.74976701986
estimated,0.12,0.8499999999999996,19397.65443238365
estimated,0.12,0.8599999999999995,19425.285722468438
estimated,0.12,0.8699999999999996,19452.595665941542
estimated,0.12,0.8799999999999996,19479.542714087922
estimated,0.12,0.8899999999999996,19506.091662515042
estimated,0.12,0.8999999999999996,19532.21339400156
estimated,0.12,0.9099999999999996,19557.884459136512
estimated,0.12,0.9199999999999996,19583.086515770192
estimated,0.12,0.9299999999999996,19607.805654282463
estimated,0.12,0.9399999999999996,19632.031640004447
estimated,0.12,0.9499999999999995,19655.75710752994
estimated,0.12,0.9599999999999995,19678.97674333662
estimated,0.12,0.9699999999999995,19701.686492911977
estimated,0.12,0.9799999999999995,19723.882826475932
estimated,0.12,0.9899999999999995,19745.562093388886
estimated,0.13,0.1,18072.558756023882
estimated,0.13,0.11,18066.382310054007
estimated,0.13,0.12,18056.85302451778
estimated,0.13,0.13,18044.853819435066
estimated,0.13,0.13999999999999999,18031.221853051225
estimated,0.13,0.14999999999999997,18016.79492602175
estimated,0.13,0.15999999999999998,18002.386380968208
estimated,0.13,0.16999999999999998,17988.729020932824
estimated,0.13,0.17999999999999997,17976.424128055107
estimated,0.13,0.18999999999999995,17965.91442272357
estimated,0.13,0.19999999999999996,17957.483428688167
estimated,0.13,0.20999999999999996,17951.274233455013
estimated,0.13,0.21999999999999995,17947.318083427705
estimated,0.13,0.22999999999999995,17945.564936242034
estimated,0.13,0.23999999999999994,17945.911195013574
estimated,0.13,0.24999999999999992,17948.222604026905
estimated,0.13,0.2599999999999999,17952.3520349617
estimated,0.13,0.2699999999999999,17958.15268581829
estimated,0.13,0.2799999999999999,17965.48738022418
estimated,0.13,0.2899999999999999,17974.234534903317
estimated,0.13,0.29999999999999993,17984.29119856648
estimated,0.13,0.30999999999999994,17995.57348086646
estimated,0.13,0.3199999999999999,18008.014714608496
estimated,0.13,0.32999999999999985,18021.56180016691
estimated,0.13,0.33999999999999986,18036.170309828623
estimated,0.13,0.34999999999999987,18051.79902462578
estimated,0.13,0.3599999999999999,18068.404594948654
estimated,0.13,0.3699999999999999,18085.936945747853
estimated,0.13,0.3799999999999999,18104.33590031651
estimated,0.13,0.3899999999999999,18123.529305613712
estimated,0.13,0.3999999999999998,18143.43274515517
estimated,0.13,0.4099999999999998,18163.95075520361
estimated,0.13,0.4199999999999998,18184.97933446915
estimated,0.13,0.4299999999999998,18206.4094610225
estimated,0.13,0.43999999999999984,18228.131294280007
estimated,0.13,0.44999999999999984,18250.038731569362
estimated,0.13,0.45999999999999985,18272.033996086862
estimated,0.13,0.46999999999999986,18294.031948286374
estimated,0.13,0.47999999999999976,18315.963835170623
estimated,0.13,0.48999999999999977,18337.780224388192
estimated,0.13,0.4999999999999998,18359.45291724864
estimated,0.13,0.5099999999999998,18380.975699149734
estimated,0.13,0.5199999999999998,18402.36386634134
estimated,0.13,0.5299999999999998,18423.652558400216
estimated,0.13,0.5399999999999998,18444.894017078394
estimated,0.13,0.5499999999999998,18466.153973408906
estimated,0.13,0.5599999999999997,18487.50742622776
estimated,0.13,0.5699999999999997,18509.03410996637
estimated,0.13,0.5799999999999997,18530.81395448496
estimated,0.13,0.5899999999999997,18552.92281661501
estimated,0.13,0.5999999999999998,18575.428717399813
estimated,0.13,0.6099999999999998,18598.38875774174
estimated,0.13,0.6199999999999998,18621.846817309754
estimated,0.13,0.6299999999999997,18645.83207464409
estimated,0.13,0.6399999999999997,18670.3583272313
estimated,0.13,0.6499999999999997,18695.424042555584
estimated,0.13,0.6599999999999997,18721.01303818983
estimated,0.13,0.6699999999999997,18747.095669054994
estimated,0.13,0.6799999999999997,18773.63039391324
estimated,0.13,0.6899999999999997,18800.5655965644
estimated,0.13,0.6999999999999996,18827.841548200642
estimated,0.13,0.7099999999999996,18855.392413378897
estimated,0.13,0.7199999999999996,18883.148219197363
estimated,0.13,0.7299999999999996,18911.036724837755
estimated,0.13,0.7399999999999997,18938.985144486345
estimated,0.13,0.7499999999999997,18966.921690057294
estimated,0.13,0.7599999999999997,18994.776911135934
estimated,0.13,0.7699999999999997,19022.484818047058
estimated,0.13,0.7799999999999997,19049.983780665723
estimated,0.13,0.7899999999999996,19077.21720094699
estimated,0.13,0.7999999999999996,19104.133961903673
estimated,0.13,0.8099999999999996,19130.688660353622
estimated,0.13,0.8199999999999996,19156.841635515862
estimated,0.13,0.8299999999999996,19182.558810340248
estimated,0.13,0.8399999999999996,19207.811367625643
estimated,0.13,0.8499999999999996,19232.57528764216
estimated,0.13,0.8599999999999995,19256.830778136864
estimated,0.13,0.8699999999999996,19280.561630714008
estimated,0.13,0.8799999999999996,19303.754539183636
estimated,0.13,0.8899999999999996,19326.398415542506
estimated,0.13,0.8999999999999996,19348.483737263487
estimated,0.13,0.9099999999999996,19370.00195614379
estimated,0.13,0.9199999999999996,19390.94499378108
estimated,0.13,0.9299999999999996,19411.30484237415
estimated,0.13,0.9399999999999996,19431.07328256283
estimated,0.13,0.9499999999999995,19450.241722578583
estimated,0.13,0.9599999999999995,19468.801155667592
estimated,0.13,0.9699999999999995,19486.742226342587
estimated,0.13,0.9799999999999995,19504.055390217185
estimated,0.13,0.9899999999999995,19520.731147903887
estimated,0.13999999999999999,0.1,17771.28848418821
estimated,0.13999999999999999,0.11,17765.253386231998
estimated,0.13999999999999999,0.12,17756.52643141266
estimated,0.13999999999999999,0.13,17746.039750287568
estimated,0.13999999999999999,0.13999999999999999,17734.66567883041
estimated,0.13999999999999999,0.14999999999999997,17723.21939685006
estimated,0.13999999999999999,0.15999999999999998,17712.4243223536
estimated,0.13999999999999999,0.16999999999999998,17702.873270855176
estimated,0.13999999999999999,0.17999999999999997,17695.00612099613
estimated,0.13999999999999999,0.18999999999999995,17689.109544877167
estimated,0.13999999999999999,0.19999999999999996,17685.33435302088
estimated,0.13999999999999999,0.20999999999999996,17683.72245451324
estimated,0.13999999999999999,0.21999999999999995,17684.236227799393
estimated,0.13999999999999999,0.22999999999999995,17686.7856029397
estimated,0.13999999999999999,0.23999999999999994,17691.25060204643
estimated,0.13999999999999999,0.24999999999999992,17697.49874831175
estimated,0.13999999999999999,0.2599999999999999,17705.397608760846
estimated,0.13999999999999999,0.2699999999999999,17714.823042931115
estimated,0.13999999999999999,0.2799999999999999,17725.6637749797
estimated,0.13999999999999999,0.2899999999999999,17737.822887468523
estimated,0.13999999999999999,0.29999999999999993,17751.216841947575
estimated,0.13999999999999999,0.30999999999999994,17765.772676124965
estimated,0.13999999999999999,0.3199999999999999,17781.424078523098
estimated,0.13999999999999999,0.32999999999999985,17798.107057041474
estimated,0.13999999999999999,0.33999999999999986,17815.75587104902
estimated,0.13999999999999999,0.34999999999999987,17834.299779016117
estimated,0.13999999999999999,0.3599999999999999,17853.66098414755
estimated,0.13999999999999999,0.3699999999999999,17873.753966914865
estimated,0.13999999999999999,0.3799999999999999,17894.486207683036
estimated,0.13999999999999999,0.3899999999999999,17915.76014998477
estimated,0.13999999999999999,0.3999999999999998,17937.47614549945
estimated,0.13999999999999999,0.4099999999999998,17959.536057645157
estimated,0.13999999999999999,0.4199999999999998,17981.847174031955
estimated,0.13999999999999999,0.4299999999999998,18004.32607989036
estimated,0.13999999999999999,0.43999999999999984,18026.902167866603
estimated,0.13999999999999999,0.44999999999999984,18049.52049978456
estimated,0.13999999999999999,0.45999999999999985,18072.143791687136
estimated,0.13999999999999999,0.46999999999999986,18094.75336384075
